INFO  Имя:0000092757_00022_87776874_e_a_l___4094087_199, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1669349912359, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1670920455770, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1670920455793, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1670920455815, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1677578457237, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1677578457252, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1683864594101, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1683864594122, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1683864594142, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1683864594159, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1683864916858, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1683864916877, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:1685927023239, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:18_31_ostatsja_v_zhivykh-lost-s02-bdrip_ot_hq-vide, Расширение: torrent, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:2, Расширение: csv, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:2, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:2021-02-04System, Расширение: zip, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:2022-07-30 14-57-27, Расширение: JPG, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:2022-11-04__12-40-45__79069089444__Нурматова, Расширение: mp3, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:2023-02-03_13-58-14, Расширение: png, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:2023-04-13__09-22-07__79309993847__admin, Расширение: mp3, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:2023-05-05_15-36-27, Расширение: png, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:2023-05-07_17-46-27, Расширение: png, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:2023-06-03_14-59-51, Расширение: png, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:2023-06-05__08-40-36__79232246096__Марина сметчица, Расширение: mp3, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:2023-06-14__05-31-05__79137563164__Нурматова, Расширение: mp3, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:2023-07-04_16-21-54, Расширение: png, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:21.62.03+, Расширение: docx, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:23.33.03+, Расширение: docx, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:27, Расширение: csv, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:28, Расширение: csv, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:2гис, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:2тб, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:3, Расширение: csv, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:3, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:300695976, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:300695976_НЕКРАСОВ_0192000_1 - 300695976, Расширение: PDF, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:30_20, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:4 статья, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:4, Расширение: csv, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:4, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:5 статья, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:5 статья_, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:5, Расширение: csv, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:5, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:541016161942_НЕКРАСОВ ВИКТОР СЕРГЕЕВИЧ (ИП)_Справка об оборотах_2022-04-29 05-41-40, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:6, Расширение: csv, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:6, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:7, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:8, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:9, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:CSV_creating, Расширение: py, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:File_writing, Расширение: py, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:Main, Расширение: py, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:Phonebook, Расширение: csv, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:Phonebook, Расширение: txt, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:User_interface, Расширение: py, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:Безымянный, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:лиды октябрь, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:лиды сентябрь, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:общее октябрь, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:общее сентябрь, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:октябрь, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:поисковики октябрь, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:поисковики сентябрь, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:реклама октябрь, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:реклама сентябрь, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:сентябрь, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\7, Это директория: False 
INFO  Имя:7, Расширение: None, Родительская директория C:\Users\SkyNet\Downloads, Это директория: True 
INFO  Имя:7 статья, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:7, Расширение: csv, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:7, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:7440dd4s-960, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:77, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:7710682_1905062.ru, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:8, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:9, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:9qvIwD3O3Rw, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:A9R1qx0bbi_n5qdbf_27og, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:A9R1seycsv_1qdfcja_9pw, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:AA_v3 (1), Расширение: exe, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:AA_v3 (2), Расширение: exe, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:AA_v3 (2), Расширение: log, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:AA_v3, Расширение: exe, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:AA_v3, Расширение: log, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:AA_v3, Расширение: rar, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:AIDA64.v6.50.5800, Расширение: exe, Родительская директория C:\Users\SkyNet\Downloads\AIDA64 Extreme_Engineer_Business_Network Audit 6.50.5800 RePack (& Portable) by KpoJIuK, Это директория: False 
INFO  Имя:INSTALL BUSINESS, Расширение: CMD, Родительская директория C:\Users\SkyNet\Downloads\AIDA64 Extreme_Engineer_Business_Network Audit 6.50.5800 RePack (& Portable) by KpoJIuK, Это директория: False 
INFO  Имя:INSTALL ENGINEER, Расширение: CMD, Родительская директория C:\Users\SkyNet\Downloads\AIDA64 Extreme_Engineer_Business_Network Audit 6.50.5800 RePack (& Portable) by KpoJIuK, Это директория: False 
INFO  Имя:INSTALL EXTREME, Расширение: CMD, Родительская директория C:\Users\SkyNet\Downloads\AIDA64 Extreme_Engineer_Business_Network Audit 6.50.5800 RePack (& Portable) by KpoJIuK, Это директория: False 
INFO  Имя:INSTALL NETWORK AUDIT, Расширение: CMD, Родительская директория C:\Users\SkyNet\Downloads\AIDA64 Extreme_Engineer_Business_Network Audit 6.50.5800 RePack (& Portable) by KpoJIuK, Это директория: False 
INFO  Имя:PORTABLE BUSINESS, Расширение: CMD, Родительская директория C:\Users\SkyNet\Downloads\AIDA64 Extreme_Engineer_Business_Network Audit 6.50.5800 RePack (& Portable) by KpoJIuK, Это директория: False 
INFO  Имя:PORTABLE ENGINEER, Расширение: CMD, Родительская директория C:\Users\SkyNet\Downloads\AIDA64 Extreme_Engineer_Business_Network Audit 6.50.5800 RePack (& Portable) by KpoJIuK, Это директория: False 
INFO  Имя:PORTABLE EXTREME, Расширение: CMD, Родительская директория C:\Users\SkyNet\Downloads\AIDA64 Extreme_Engineer_Business_Network Audit 6.50.5800 RePack (& Portable) by KpoJIuK, Это директория: False 
INFO  Имя:PORTABLE NETWORK AUDIT, Расширение: CMD, Родительская директория C:\Users\SkyNet\Downloads\AIDA64 Extreme_Engineer_Business_Network Audit 6.50.5800 RePack (& Portable) by KpoJIuK, Это директория: False 
INFO  Имя:AIDA64 Extreme_Engineer_Business_Network Audit 6.50.5800 RePack (& Portable) by KpoJIuK, Расширение: None, Родительская директория C:\Users\SkyNet\Downloads, Это директория: True 
INFO  Имя:alansa, Расширение: png, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:alga, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:AnyDesk, Расширение: exe, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:KMS Tools Portable password 2022, Расширение: zip, Родительская директория C:\Users\SkyNet\Downloads\archive-2022-10-07_04-44-06\archive, Это директория: False 
INFO  Имя:Microsoft.Officex64.v2021.04, Расширение: iso, Родительская директория C:\Users\SkyNet\Downloads\archive-2022-10-07_04-44-06\archive, Это директория: False 
INFO  Имя:archive, Расширение: None, Родительская директория C:\Users\SkyNet\Downloads\archive-2022-10-07_04-44-06, Это директория: True 
INFO  Имя:archive, Расширение: rar, Родительская директория C:\Users\SkyNet\Downloads\archive-2022-10-07_04-44-06, Это директория: False 
INFO  Имя:archive-2022-10-07_04-44-06, Расширение: None, Родительская директория C:\Users\SkyNet\Downloads, Это директория: True 
INFO  Имя:archive-2022-10-07_04-44-06, Расширение: zip, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:article_4_2, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:Акции, Расширение: png, Родительская директория C:\Users\SkyNet\Downloads\Attachments_zagvozdin@seolead.pro_2022-12-22_09-25-17, Это директория: False 
INFO  Имя:Видео-отзывы, Расширение: png, Родительская директория C:\Users\SkyNet\Downloads\Attachments_zagvozdin@seolead.pro_2022-12-22_09-25-17, Это директория: False 
INFO  Имя:Для дизайнеров, Расширение: png, Родительская директория C:\Users\SkyNet\Downloads\Attachments_zagvozdin@seolead.pro_2022-12-22_09-25-17, Это директория: False 
INFO  Имя:Каталог (4), Расширение: png, Родительская директория C:\Users\SkyNet\Downloads\Attachments_zagvozdin@seolead.pro_2022-12-22_09-25-17, Это директория: False 
INFO  Имя:Контакты (9), Расширение: png, Родительская директория C:\Users\SkyNet\Downloads\Attachments_zagvozdin@seolead.pro_2022-12-22_09-25-17, Это директория: False 
INFO  Имя:О компании (3), Расширение: png, Родительская директория C:\Users\SkyNet\Downloads\Attachments_zagvozdin@seolead.pro_2022-12-22_09-25-17, Это директория: False 
INFO  Имя:Парящий потолок, Расширение: png, Родительская директория C:\Users\SkyNet\Downloads\Attachments_zagvozdin@seolead.pro_2022-12-22_09-25-17, Это директория: False 
INFO  Имя:Примеры работ (1), Расширение: png, Родительская директория C:\Users\SkyNet\Downloads\Attachments_zagvozdin@seolead.pro_2022-12-22_09-25-17, Это директория: False 
INFO  Имя:Attachments_zagvozdin@seolead.pro_2022-12-22_09-25-17, Расширение: None, Родительская директория C:\Users\SkyNet\Downloads, Это директория: True 
INFO  Имя:Attachments_zagvozdin@seolead.pro_2022-12-22_09-25-17, Расширение: zip, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:Banks_1 (2), Расширение: zip, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:Banks_1, Расширение: zip, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:bill_9455384, Расширение: doc, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:bnkdel, Расширение: txt, Родительская директория C:\Users\SkyNet\Downloads\bnk, Это директория: False 
INFO  Имя:bnkseek, Расширение: txt, Родительская директория C:\Users\SkyNet\Downloads\bnk, Это директория: False 
INFO  Имя:bnkseek_swift, Расширение: txt, Родительская директория C:\Users\SkyNet\Downloads\bnk, Это директория: False 
INFO  Имя:reg, Расширение: txt, Родительская директория C:\Users\SkyNet\Downloads\bnk, Это директория: False 
INFO  Имя:bnk, Расширение: None, Родительская директория C:\Users\SkyNet\Downloads, Это директория: True 
INFO  Имя:bnk, Расширение: zip, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:cadesplugin, Расширение: exe, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:catakog, Расширение: xls, Родительская директория C:\Users\SkyNet\Downloads\catalog, Это директория: False 
INFO  Имя:catalog, Расширение: None, Родительская директория C:\Users\SkyNet\Downloads, Это директория: True 
INFO  Имя:CC2+CC3, Расширение: zip, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:CC2P_20201229, Расширение: rar, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:cc3, Расширение: rar, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:CC3_APP_011221_SYS_301121_CB_011221_SPROPCC2P_ALLAPP_VINCENT_VEGA_EDITION, Расширение: zip, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:CC3_APP_060522_SYS_270622_CB_250622_LP_SPROPCC2P_ALLAPP_VINCENT_VEGA_EDITION, Расширение: zip, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:Chipset_H61_xp_vista_7_8, Расширение: zip, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:20-19-21, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\Conteinerization2, Это директория: False 
INFO  Имя:20-32-30, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\Conteinerization2, Это директория: False 
INFO  Имя:20-42-39, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\Conteinerization2, Это директория: False 
INFO  Имя:21-24-36, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\Conteinerization2, Это директория: False 
INFO  Имя:21-25-25, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\Conteinerization2, Это директория: False 
INFO  Имя:21-26-00, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\Conteinerization2, Это директория: False 
INFO  Имя:21-31-24, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\Conteinerization2, Это директория: False 
INFO  Имя:21-58-06, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\Conteinerization2, Это директория: False 
INFO  Имя:21-59-32, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\Conteinerization2, Это директория: False 
INFO  Имя:22-01-40, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\Conteinerization2, Это директория: False 
INFO  Имя:22-04-11, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\Conteinerization2, Это директория: False 
INFO  Имя:22-04-56, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\Conteinerization2, Это директория: False 
INFO  Имя:22-06-03, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\Conteinerization2, Это директория: False 
INFO  Имя:22-08-30, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads\Conteinerization2, Это директория: False 
INFO  Имя:Conteinerization2, Расширение: None, Родительская директория C:\Users\SkyNet\Downloads, Это директория: True 
INFO  Имя:desktop, Расширение: ini, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:dkp-agreement, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:doc-AR+5.5(№41+от+16.08.16) (1), Расширение: doc, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:doc-AR+5.5(№41+от+16.08.16), Расширение: doc, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:doc-внесение+изменений+в+АР, Расширение: docx, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:GrdDriversRU, Расширение: msi, Родительская директория C:\Users\SkyNet\Downloads\drivers_5_31_78_x64, Это директория: False 
INFO  Имя:setup, Расширение: exe, Родительская директория C:\Users\SkyNet\Downloads\drivers_5_31_78_x64, Это директория: False 
INFO  Имя:verinfo, Расширение: None, Родительская директория C:\Users\SkyNet\Downloads\drivers_5_31_78_x64, Это директория: False 
INFO  Имя:drivers_5_31_78_x64, Расширение: None, Родительская директория C:\Users\SkyNet\Downloads, Это директория: True 
INFO  Имя:DwarenLoader_a13db8015e6519f18f955e425dda5436_en, Расширение: exe, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:EasyCeiling+-+Новая+функция, Расширение: eml, Родительская директория C:\Users\SkyNet\Downloads\EasyCeiling, Это директория: False 
INFO  Имя:EasyCeilingProizv, Расширение: msi, Родительская директория C:\Users\SkyNet\Downloads\EasyCeiling\EasyCeilingProizv, Это директория: False 
INFO  Имя:EasyCeilingProizv, Расширение: None, Родительская директория C:\Users\SkyNet\Downloads\EasyCeiling, Это директория: True 
INFO  Имя:Factura, Расширение: ini, Родительская директория C:\Users\SkyNet\Downloads\EasyCeiling, Это директория: False 
INFO  Имя:UpdateEasyCeilingProizv, Расширение: exe, Родительская директория C:\Users\SkyNet\Downloads\EasyCeiling, Это директория: False 
INFO  Имя:лого-Alansa-натяжные-потолки, Расширение: bmp, Родительская директория C:\Users\SkyNet\Downloads\EasyCeiling, Это директория: False 
INFO  Имя:EasyCeiling, Расширение: None, Родительская директория C:\Users\SkyNet\Downloads, Это директория: True 
INFO  Имя:EasyCeiling, Расширение: zip, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:EasyCeilingAndroid, Расширение: apk, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:Exceptions, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:f3bde05s-1920, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:fac64432a8, Расширение: jpg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:Factura 1 с 0712, Расширение: ini, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:Factura 1c 1107, Расширение: ini, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:Factura 1с, Расширение: ini, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:file (1), Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:file, Расширение: pdf, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:fix-0x0000011b, Расширение: reg, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:FNS_4628073, Расширение: zip, Родительская директория C:\Users\SkyNet\Downloads, Это директория: False 
INFO  Имя:GeekSpeak_Разработчик, Расширение: None, Родительская директория C:\Users\SkyNet\Downloads, Это директория: True 
INFO  Имя:glavcam, Расширение: cat, Родительская директория C:\Users\SkyNet\Downloads\Genesys-FORCED-10x64-drp\Genesys\FORCED\10x64, Это директория: False 
INFO  Имя:glavcam, Расширение: cer, Родительская директория C:\Users\SkyNet\Downloads\Genesys-FORCED-10x64-drp\Genesys\FORCED\10x64, Это директория: False 
INFO  Имя:glavcam, Расширение: inf, Родительская директория C:\Users\SkyNet\Downloads\Genesys-FORCED-10x64-drp\Genesys\FORCED\10x64, Это директория: False 
INFO  Имя:glavcam, Расширение: sys, Родительская директория C:\Users\SkyNet\Downloads\Genesys-FORCED-10x64-drp\Genesys\FORCED\10x64, Это директория: False 
INFO  Имя:GLAVCoInst, Расширение: dll, Родительская директория C:\Users\SkyNet\Downloads\Genesys-FORCED-10x64-drp\Genesys\FORCED\10x64, Это директория: False 
INFO  Имя:glprop, Расширение: ax, Родительская директория C:\Users\SkyNet\Downloads\Genesys-FORCED-10x64-drp\Genesys\FORCED\10x64, Это директория: False 
INFO  Имя:gluninstall, Расширение: dll, Родительская директория C:\Users\SkyNet\Downloads\Genesys-FORCED-10x64-drp\Genesys\FORCED\10x64, Это директория: False 
